Class,Participation,Annual_Gifts
1931-1939,N/A,52558
1940,25.0,1210
1941,23.1,250
1942,50.0,23220
1943,30.8,52825
1944,40.4,16235
1945,30.2,77408
1945W,31.8,15130
1946,22.8,58806
1947,42.9,20732
1948,36.5,98357
1949,40.7,85670
1950,42.2,177471
1951,61.9,166513
1952,79.7,149258
1953,46.6,268928
1954,56.5,432346
1955,48.8,195494
1956,45.0,267357
1957,51.4,227359
1958,42.2,274718
1959,44.2,450549
1960,35.8,258374
1961,42.0,118591
1962,37.3,212841
1963,43.1,292869
1964,39.0,524458
1965,33.7,198725
1966,50.6,493704
1967,38.2,290781
1968,36.1,386893
1969,48.8,1051666
1970,35.7,228534
1971,36.5,259005
1972,28.6,234832
1973,28.1,268033
1974,29.1,390145
1975,25.4,450066
1976,25.4,249510
1977,26.3,281591
1978,22.6,330780
1979,26.3,446949
1980,24.2,546071
1981,23.5,352339
1982,22.3,300598
1983,21.8,348859
1984,26.4,540751
1985,33.9,825034
1986,23.5,707079
1987,26.3,507218
1988,24.4,676429
1989,27.0,771743
1990,27.8,495799
1991,27.4,567202
1992,27.2,520391
1993,26.6,536379
1994,29.9,805599
1995,27.2,516162
1996,24.6,323570
1997,26.5,255677
1998,24.9,346060
1999,27.2,473300
2000,23.6,231529
2001,22.3,257839
2002,19.6,139767
2003,19.9,154141
2004,22.3,223983
2005,20.1,130467
2006,21.6,98346
2007,21.2,116455
2008,16.8,106212
2009,20.7,103154
2010,18.1,53658
2011,19.3,49430
2012,20.6,49099
2013,18.4,36583
2014,21.2,83020
2015,18.9,43218
2016,17.4,26655
2017,14.5,18401
2018,12.1,8631
