Class,Participation,Annual_Gifts,Alumni_Fund_Endowment_Income
1932–1939,N/A,32793,9444441
1940,52.6,40280,864711
1941,42.6,37774,488303
1942,45.5,94827,626609
1943,50.7,65305,1239978
1944,50.0,65740,1890971
1945,46.2,63322,250868
1945W,50.3,97341,310233
1946,30.5,36955,90422
1947,45.5,154188,56505
1948,41.0,80247,154239
1949,54.8,111409,176502
1950,48.3,201886,257275
1951,82.9,197410,159307
1952,81.8,480574,148425
1953,54.4,230978,133001
1954,58.6,223478,488163
1955,54.7,243577,156807
1956,47.4,268706,245811
1957,61.7,496266,213459
1958,51.1,268567,213461
1959,48.8,340368,209308
1960,40.1,340807,189805
1961,44.2,208448,153734
1962,51.7,1091095,26665
1963,53.0,307849,100358
1964,43.3,183713,193184
1965,37.4,221276,36024
1966,55.4,396598,35349
1967,37.7,523847,62266
1968,38.3,307922,43882
1969,37.6,300933,25125
1970,31.9,197128,12672
1971,31.4,232332,39342
1972,33.1,556264,2886
1973,28.9,261092,35014
1974,27.0,278230,5311
1975,25.9,256630,21512
1976,28.3,299875,18951
1977,29.9,389983,1840
1978,27.6,267572,4931
1979,29.3,377700,351
1980,28.4,609516,6798
1981,27.6,397782,4379
1982,29.3,592367,927
1983,27.7,412026,169
1984,29.4,341568,53826
1985,39.5,631255,2670
1986,25.7,409183,183092
1987,32.0,604761,36
1988,25.0,273532,179
1989,29.3,295031,17
1990,27.7,296589,45
1991,23.9,231726,91
1992,28.0,414176,771
1993,23.9,157239,37335
1994,26.3,212731,29
1995,22.8,212306,21
1996,22.0,160636,—
1997,24.8,159681,—
1998,20.9,108980,23
1999,22.2,123595,—
2000,21.0,105730,32
2001,21.1,86980,—
2002,30.0,133601,—
2003,29.0,66174,—
2004,28.9,84106,—
2005,29.2,34535,—
2006,27.8,44826,—
2007,34.7,57932,—
2008,29.3,23209,—
2009,25.1,20314,—
2010,27.8,21036,—
2011,27.2,18665,—
2012,94.1,31546,—
