Class,Participation,Annual_Gifts
1931–1940,N/A,20160
1941,50.0,20550
1942,29.4,1650
1943,31.6,16175
1944,50.0,26976
1945,22.4,28313
1945W,32.3,15982
1946,16.5,5675
1947,41.5,146830
1948,29.3,72297
1949,39.8,51325
1950,38.2,151719
1951,54.1,53059
1952,73.2,157564
1953,43.5,417975
1954,47.8,184154
1955,44.0,300821
1956,40.6,273840
1957,49.9,243290
1958,42.7,232827
1959,37.8,285248
1960,36.6,417933
1661,35.9,120013
1962,34.7,184485
1963,41.9,1153153
1964,36.6,299719
1965,31.9,257505
1966,44.7,474048
1967,32.6,238383
1968,33.4,400568
1969,32.5,339687
1970,39.7,754109
1971,35.2,260750
1972,29.5,268855
1973,26.2,302946
1974,23.7,217687
1975,23.8,543339
1976,24.4,272973
1977,24.6,272419
1978,20.3,230106
1979,19.5,237485
1980,22.0,691371
1981,21.5,463391
1982,20.4,272338
1983,19.8,290114
1984,19.0,287621
1985,27.7,725052
1986,19.8,566355
1987,22.3,434271
1988,22.0,519404
1989,23.2,547215
1990,22.8,564180
1991,24.0,673820
1992,25.5,564950
1993,24.2,559421
1994,23.9,590247
1995,23.2,507020
1996,23.0,351658
1997,24.8,258188
1998,22.8,315066
1999,22.3,328369
2000,20.5,284330
2001,18.8,225691
2002,18.4,158745
2003,16.6,134993
2004,18.3,147476
2005,15.1,109529
2006,18.8,99921
2007,18.8,122379
2008,14.4,92267
2009,16.1,75214
2010,14.2,49394
2011,20.0,55858
2012,20.0,55584
2013,17.1,65841
2014,14.0,35820
2015,13.3,35655
2016,12.8,44157
2017,11.6,14344
2018,8.8,8088
2019,7.8,8057
