Class,Participation,Annual_Gifts,Alumni_Fund_Endowment_Income
1930–1939,N/A,80409,12922967
1940,37.9,8585,919413
1941,30.2,19507,536893
1942,50.9,36100,666775
1943,45.1,11420,1317864
1944,42.2,47622,2095109
1945,39.7,56353,268580
1945W,47.4,51828,329892
1946,29.9,15725,96211
1947,40.3,36413,60196
1948,34.3,63656,165183
1949,48.8,142494,187939
1950,48.1,340904,280607
1951,78.8,240785,194107
1952,80.4,260146,168777
1953,53.4,282039,145030
1954,60.5,243757,543801
1955,61.1,678949,167136
1956,50.8,293536,270031
1957,62.5,279204,229279
1958,55.7,263437,230851
1959,50.3,288952,223030
1960,47.1,587858,207008
1961,48.8,198109,166293
1962,44.3,278824,28300
1963,49.2,436764,106822
1964,41.6,280594,207209
1965,48.1,1028459,38385
1966,60.1,435579,37517
1967,36.1,330747,67970
1968,37.2,309660,47335
1969,34.3,320806,27245
1970,33.0,360288,25319
1971,34.8,247784,41817
1972,31.2,253044,3742
1973,28.4,257547,37166
1974,27.7,267028,5428
1975,27.3,513968,24713
1976,27.7,233599,24883
1977,27.0,242798,2108
1978,24.1,254210,5233
1979,24.9,270507,722
1980,27.4,1122599,7225
1981,25.1,405251,5188
1982,25.0,451342,984
1983,24.8,367256,179
1984,27.3,460052,57631
1985,40.8,1129301,2867
1986,27.6,533361,194960
1987,27.5,627826,803
1988,24.5,491836,617
1989,28.1,439039,18
1990,29.2,711666,1809
1991,27.2,320766,97
1992,25.3,287325,1093
1993,24.4,261786,40527
1994,27.2,310552,73
1995,25.7,485039,35
1996,22.9,255823,52
1997,24.8,145371,118
1998,21.6,185747,24
1999,22.5,190447,51
2000,22.8,269962,34
2001,21.2,148422,4
2002,20.1,98441,0
2003,21.9,118476,0
2004,20.8,112294,0
2005,22.4,120699,0
2006,23.5,58877,0
2007,23.4,59429,0
2008,19.4,51835,0
2009,20.9,26958,0
2010,28.1,51335,0
2011,23.9,24660,0
2012,27.8,26308,0
2013,28.5,17321,0
2014,25.9,17284,0
2015,N/A,38017,0
